metric_date,poc,custo_mes,despesa_mes,receita_mes,resultado_mes,custo_acum,receita_acum
2026-03-01,0.8933050765569637,-2565766.8700000006,-47838.38628,-3144287.438093098,-530682.1818130973,44424473.89,48903721.7119069
2026-04-01,0.8417116108491209,-2565766.8700000006,-15666.041266666663,-2843279.268965212,-261846.35769854492,41858707.02,46060442.44294169
2026-05-01,0.7957378038069159,-2286298.6500000004,-40872.457851446365,-2533583.8692968073,-206412.7614453606,39572408.370000005,43526858.573644884
2026-06-01,0.7497639967647111,-2286298.6500000004,-93267.52039743475,-2533583.8692968013,-154017.69889936614,37286109.720000006,40993274.70434808
2026-07-01,0.7094098713117195,-2006829.2900000005,-38043.074577356514,-2223887.206326419,-179014.841749062,35279280.43000001,38769387.49802166
2026-08-01,0.6736881484577933,-1776457.7700000005,-32077.104455948396,-1968598.7876338747,-160063.9131779258,33502822.660000008,36800788.71038779
2026-09-01,0.6552588701282398,-916496.52,-45009.484642651536,-1015624.4457996191,-54118.44115696752,32586326.140000008,35785164.26458817
2026-10-01,0.6317673783900635,-1168242.7300000002,-35446.674470195496,-1294599.4330842388,-90910.02861404308,31418083.410000008,34490564.83150393
2026-11-01,0.6264142330353574,-266214.39,-38851.076003132686,-295008.0403007239,10057.425702408778,31151869.020000007,34195556.7912032
2026-12-01,0.6264142330353574,0.0,-73786.55889840225,0.0,73786.55889840225,31151869.020000007,34195556.7912032
2027-01-01,0.6264142330353574,0.0,-203312.38382198967,0.0,203312.38382198967,31151869.020000007,34195556.7912032
2027-02-01,0.6264142330353574,0.0,-193794.7229160264,0.0,193794.7229160264,31151869.020000007,34195556.7912032
